#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Dec 31 17:22:51 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       ALU_map.ncd
#OUTPUT FILE:      ALU_pad.csv
#PART TYPE:        xc6slx75
#SPEED GRADE:      -3
#PACKAGE:          csg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AA21,A<17>,IOB,IO_L63P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
AA22,A<18>,IOB,IO_L63N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
AB1,,,GND,,,,,,,,,,,,
AB2,B<1>,IOB,IO_L1N_VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
AB3,B<7>,IOB,IO_L8N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
AB4,B<15>,IOB,IO_L12N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
AB5,PCSet<31>,IOB,IO_L65N_CSO_B_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB6,PCSet<29>,IOB,IO_L64N_D9_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB7,PCSet<27>,IOB,IO_L63N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB8,PCSet<23>,IOB,IO_L49N_D4_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB9,PCSet<21>,IOB,IO_L48N_RDWR_B_VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB10,PCSet<9>,IOB,IO_L32N_GCLK28_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB11,PCSet<7>,IOB,IO_L31N_GCLK30_D15_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB12,PCSet<5>,IOB,IO_L30N_GCLK0_USERCCLK_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB13,PCSet<15>,IOB,IO_L41N_VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB14,MenagePC<0>,IOB,IO_L15N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB15,DecoderData<16>,IOB,IO_L5N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB16,DecoderData<14>,IOB,IO_L4N_VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB17,DecoderData<12>,IOB,IO_L3N_MOSI_CSI_B_MISO0_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB18,DecoderData<10>,IOB,IO_L2N_CMPMOSI_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB19,A<21>,IOB,IO_L65P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
AB20,A<22>,IOB,IO_L65N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
AB21,A<14>,IOB,IO_L61N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
AB22,,,GND,,,,,,,,,,,,
B1,ALUAddr<10>,IOB,IO_L54N_M3A11_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
B2,ALUAddr<9>,IOB,IO_L54P_M3RESET_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
B3,InDecSP<0>,IOB,IO_L1P_HSWAPEN_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
B4,,,VCCO_0,,,0,,,,,2.50,,,,
B5,,,GND,,,,,,,,,,,,
B6,,IOBM,IO_L4P_0,UNUSED,,0,,,,,,,,,
B7,,,VCCO_0,,,0,,,,,2.50,,,,
B8,,IOBM,IO_L6P_0,UNUSED,,0,,,,,,,,,
B9,,,GND,,,,,,,,,,,,
B10,,IOBM,IO_L34P_GCLK19_0,UNUSED,,0,,,,,,,,,
B11,,,VCCO_0,,,0,,,,,2.50,,,,
B12,,IOBM,IO_L36P_GCLK15_0,UNUSED,,0,,,,,,,,,
B13,,,GND,,,,,,,,,,,,
B14,,IOBM,IO_L50P_0,UNUSED,,0,,,,,,,,,
B15,,,VCCO_0,,,0,,,,,2.50,,,,
B16,,IOBM,IO_L63P_SCP7_0,UNUSED,,0,,,,,,,,,
B17,,,GND,,,,,,,,,,,,
B18,,IOBM,IO_L66P_SCP1_0,UNUSED,,0,,,,,,,,,
B19,,,VCCO_1,,,1,,,,,2.50,,,,
B20,DataIO<5>,IOB,IO_L14P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
B21,SetSP<5>,IOB,IO_L37P_A7_M1A0_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
B22,SetSP<6>,IOB,IO_L37N_A6_M1A1_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
C1,ALU_Sel<7>,IOB,IO_L52N_M3A9_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
C2,,,VCCO_3,,,3,,,,,2.50,,,,
C3,ALUAddr<5>,IOB,IO_L52P_M3A8_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
C4,ALUAddr<27>,IOB,IO_L81P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
C5,,IOBM,IO_L2P_0,UNUSED,,0,,,,,,,,,
C6,SetSR<0>,IOB,IO_L3N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C7,SetSR<4>,IOB,IO_L5P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C8,SetSR<3>,IOB,IO_L7N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C9,,IOBM,IO_L8P_0,UNUSED,,0,,,,,,,,,
C10,,IOBS,IO_L33N_0,UNUSED,,0,,,,,,,,,
C11,,IOBM,IO_L35P_GCLK17_0,UNUSED,,0,,,,,,,,,
C12,,IOBS,IO_L37N_GCLK12_0,UNUSED,,0,,,,,,,,,
C13,,IOBM,IO_L48P_0,UNUSED,,0,,,,,,,,,
C14,,IOBS,IO_L46N_0,UNUSED,,0,,,,,,,,,
C15,,IOBM,IO_L62P_0,UNUSED,,0,,,,,,,,,
C16,,IOBS,IO_L65N_SCP2_0,UNUSED,,0,,,,,,,,,
C17,,IOBM,IO_L64P_SCP5_0,UNUSED,,0,,,,,,,,,
C18,DataIO<1>,IOB,IO_L12P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
C19,DataIO<2>,IOB,IO_L12N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
C20,SetSP<1>,IOB,IO_L35P_A11_M1A7_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
C21,,,VCCO_1,,,1,,,,,2.50,,,,
C22,SetSP<2>,IOB,IO_L35N_A10_M1A2_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
D1,ALUAddr<1>,IOB,IO_L50N_M3BA2_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
D2,ALUAddr<4>,IOB,IO_L50P_M3WE_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
D3,ALUAddr<28>,IOB,IO_L81N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
D4,,,GND,,,,,,,,,,,,
D5,ALUAddr<30>,IOB,IO_L82N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
D6,SetSR<2>,IOB,IO_L3P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
D7,SetSR<5>,IOB,IO_L7P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
D8,,IOBS,IO_L32N_0,UNUSED,,0,,,,,,,,,
D9,,IOBM,IO_L32P_0,UNUSED,,0,,,,,,,,,
D10,,IOBM,IO_L33P_0,UNUSED,,0,,,,,,,,,
D11,,IOBM,IO_L37P_GCLK13_0,UNUSED,,0,,,,,,,,,
D12,,IOBS,IO_L47N_0,UNUSED,,0,,,,,,,,,
D13,,IOBM,IO_L47P_0,UNUSED,,0,,,,,,,,,
D14,,,TCK,,,,,,,,,,,,
D15,,IOBM,IO_L46P_0,UNUSED,,0,,,,,,,,,
D16,,,VCCAUX,,,,,,,,2.5,,,,
D17,,IOBM,IO_L65P_SCP3_0,UNUSED,,0,,,,,,,,,
D18,,,GND,,,,,,,,,,,,
D19,StatusRegisterVelues<4>,IOB,IO_L11P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
D20,DataIO<0>,IOB,IO_L11N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
D21,DataIO<31>,IOB,IO_L33P_A15_M1A10_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
D22,MemIO<0>,IOB,IO_L33N_A14_M1A4_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
E1,ALUAddr<0>,IOB,IO_L48N_M3BA1_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
E2,,,GND,,,,,,,,,,,,
E3,ALUAddr<2>,IOB,IO_L48P_M3BA0_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
E4,ALU_Sel<5>,IOB,IO_L60P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
E5,ALUAddr<24>,IOB,IO_L75N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
E6,ALUAddr<29>,IOB,IO_L82P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
E7,,,GND,,,,,,,,,,,,
E8,SetSR<7>,IOB,IO_L15N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
E9,,,VCCO_0,,,0,,,,,2.50,,,,
E10,,IOBS,IO_L38N_VREF_0,UNUSED,,0,,,,,,,,,
E11,,,GND,,,,,,,,,,,,
E12,,IOBS,IO_L49N_0,UNUSED,,0,,,,,,,,,
E13,,,VCCO_0,,,0,,,,,2.50,,,,
E14,,,TDO,,,,,,,,,,,,
E15,,,GND,,,,,,,,,,,,
E16,,,TMS,,,,,,,,,,,,
E17,,,VCCO_0,,,0,,,,,2.50,,,,
E18,,,TDI,,,,,,,,,,,,
E19,,,VCCO_1,,,1,,,,,2.50,,,,
E20,DataIO<27>,IOB,IO_L31P_A19_M1CKE_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
E21,,,GND,,,,,,,,,,,,
E22,DataIO<28>,IOB,IO_L31N_A18_M1A12_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F1,SPAddr<28>,IOB,IO_L46N_M3CLKN_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
F2,SPAddr<24>,IOB,IO_L46P_M3CLK_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
F3,ALU_Sel<3>,IOB,IO_L60N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
F4,,,VCCO_3,,,3,,,,,2.50,,,,
F5,ALUAddr<23>,IOB,IO_L75P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
F6,,,VCCO_3,,,3,,,,,2.50,,,,
F7,ALUAddr<26>,IOB,IO_L80N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
F8,ALUAddr<25>,IOB,IO_L80P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
F9,SetSR<6>,IOB,IO_L15P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
F10,,IOBM,IO_L38P_0,UNUSED,,0,,,,,,,,,
F11,,,VCCAUX,,,,,,,,2.5,,,,
F12,,IOBM,IO_L49P_0,UNUSED,,0,,,,,,,,,
F13,StatusRegisterVelues<3>,IOB,IO_L9P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
F14,StatusRegisterVelues<7>,IOB,IO_L9N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
F15,StatusRegisterVelues<1>,IOB,IO_L1P_A25_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
F16,StatusRegisterVelues<2>,IOB,IO_L1N_A24_VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
F17,DataIO<7>,IOB,IO_L15P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F18,DataIO<8>,IOB,IO_L15N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F19,DataIO<13>,IOB,IO_L18P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F20,DataIO<14>,IOB,IO_L18N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F21,DataIO<23>,IOB,IO_L29P_A23_M1A13_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
F22,DataIO<24>,IOB,IO_L29N_A22_M1A14_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
G1,SPAddr<21>,IOB,IO_L44N_GCLK20_M3A6_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G2,,,VCCO_3,,,3,,,,,2.50,,,,
G3,SPAddr<30>,IOB,IO_L44P_GCLK21_M3A5_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G4,ALUAddr<22>,IOB,IO_L74N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
G5,,,GND,,,,,,,,,,,,
G6,ALUAddr<21>,IOB,IO_L74P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
G7,ALUAddr<20>,IOB,IO_L73N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
G8,ALUAddr<19>,IOB,IO_L73P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
G9,,IOBS,IO_L16N_0,UNUSED,,0,,,,,,,,,
G10,,,VCCO_0,,,0,,,,,2.50,,,,
G11,,IOBS,IO_L51N_0,UNUSED,,0,,,,,,,,,
G12,,,VCCAUX,,,,,,,,2.5,,,,
G13,DataIO<16>,IOB,IO_L19N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
G14,,,VCCO_1,,,1,,,,,2.50,,,,
G15,StatusRegisterVelues<5>,IOB,IO_L10P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
G16,StatusRegisterVelues<6>,IOB,IO_L10N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
G17,DataIO<3>,IOB,IO_L13P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
G18,,,GND,,,,,,,,,,,,
G19,DataIO<4>,IOB,IO_L13N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
G20,DataIO<29>,IOB,IO_L32P_A17_M1A8_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
G21,,,VCCO_1,,,1,,,,,2.50,,,,
G22,DataIO<30>,IOB,IO_L32N_A16_M1A9_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H1,SPAddr<27>,IOB,IO_L42N_GCLK24_M3LDM_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H2,SPAddr<26>,IOB,IO_L42P_GCLK25_TRDY2_M3UDM_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H3,ALUAddr<12>,IOB,IO_L55N_M3A14_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H4,ALUAddr<11>,IOB,IO_L55P_M3A13_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H5,ALUAddr<14>,IOB,IO_L57N_VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H6,ALUAddr<13>,IOB,IO_L57P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H7,,,GND,,,,,,,,,,,,
H8,ALUAddr<15>,IOB,IO_L58P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H9,,,VCCAUX,,,,,,,,2.5,,,,
H10,,IOBM,IO_L16P_0,UNUSED,,0,,,,,,,,,
H11,,IOBM,IO_L51P_0,UNUSED,,0,,,,,,,,,
H12,DataIO<15>,IOB,IO_L19P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H13,DataIO<19>,IOB,IO_L21P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H14,DataIO<20>,IOB,IO_L21N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H15,,,VCCAUX,,,,,,,,2.5,,,,
H16,DataIO<18>,IOB,IO_L20N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H17,DataIO<11>,IOB,IO_L17P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H18,DataIO<12>,IOB,IO_L17N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H19,DataIO<25>,IOB,IO_L30P_A21_M1RESET_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H20,DataIO<26>,IOB,IO_L30N_A20_M1A11_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H21,MemIO<1>,IOB,IO_L34P_A13_M1WE_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H22,SetSP<0>,IOB,IO_L34N_A12_M1BA2_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J1,SPAddr<18>,IOB,IO_L41N_GCLK26_M3DQ5_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J2,,,GND,,,,,,,,,,,,
J3,ALU_Sel<6>,IOB,IO_L41P_GCLK27_M3DQ4_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J4,ALUAddr<7>,IOB,IO_L53N_M3A12_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
J5,,,VCCO_3,,,3,,,,,2.50,,,,
J6,ALUAddr<8>,IOB,IO_L53P_M3CKE_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
J7,ALUAddr<16>,IOB,IO_L58N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
J8,,,VCCINT,,,,,,,,1.2,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,VCCINT,,,,,,,,1.2,,,,
J11,,,GND,,,,,,,,,,,,
J12,,,VCCINT,,,,,,,,1.2,,,,
J13,,,GND,,,,,,,,,,,,
J14,,,VCCINT,,,,,,,,1.2,,,,
J15,,,GND,,,,,,,,,,,,
J16,DataIO<17>,IOB,IO_L20P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J17,SetSP<7>,IOB,IO_L38P_A5_M1CLK_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J18,,,VCCO_1,,,1,,,,,2.50,,,,
J19,SetSP<8>,IOB,IO_L38N_A4_M1CLKN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J20,,,GND,,,,,,,,,,,,
J21,SetSP<9>,IOB,IO_L39P_M1A3_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J22,SetSP<10>,IOB,IO_L39N_M1ODT_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K1,SPAddr<23>,IOB,IO_L40N_M3DQ7_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K2,ALU_Sel<1>,IOB,IO_L40P_M3DQ6_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K3,SPAddr<31>,IOB,IO_L49N_M3A2_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K4,SetAP<0>,IOB,IO_L49P_M3A7_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K5,ALUAddr<6>,IOB,IO_L51N_M3A4_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K6,ALUAddr<3>,IOB,IO_L51P_M3A10_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K7,ALUAddr<18>,IOB,IO_L59N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
