#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sun Jan 17 23:28:46 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       MemoryController_map.ncd
#OUTPUT FILE:      MemoryController_pad.csv
#PART TYPE:        xc6slx75
#SPEED GRADE:      -3
#PACKAGE:          csg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AA14,,IOBM,IO_L15P_2,UNUSED,,2,,,,,,,,,
AA15,,,VCCO_2,,,2,,,,,any******,,,,
AA16,,IOBM,IO_L4P_2,UNUSED,,2,,,,,,,,,
AA17,,,GND,,,,,,,,,,,,
AA18,,IOBM,IO_L2P_CMPCLK_2,UNUSED,,2,,,,,,,,,
AA19,,,VCCO_1,,,1,,,,,2.50,,,,
AA20,ExternalDataBus<21>,IOB,IO_L61P_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
AA21,ExternalDataBus<25>,IOB,IO_L63P_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
AA22,ExternalDataBus<26>,IOB,IO_L63N_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
AB1,,,GND,,,,,,,,,,,,
AB2,InstructionBus<16>,IOB,IO_L1N_VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
AB3,InstructionBus<22>,IOB,IO_L8N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
AB4,InstructionBus<30>,IOB,IO_L12N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
AB5,,IOBS,IO_L65N_CSO_B_2,UNUSED,,2,,,,,,,,,
AB6,,IOBS,IO_L64N_D9_2,UNUSED,,2,,,,,,,,,
AB7,,IOBS,IO_L63N_2,UNUSED,,2,,,,,,,,,
AB8,,IOBS,IO_L49N_D4_2,UNUSED,,2,,,,,,,,,
AB9,,IOBS,IO_L48N_RDWR_B_VREF_2,UNUSED,,2,,,,,,,,,
AB10,,IOBS,IO_L32N_GCLK28_2,UNUSED,,2,,,,,,,,,
AB11,,IOBS,IO_L31N_GCLK30_D15_2,UNUSED,,2,,,,,,,,,
AB12,,IOBS,IO_L30N_GCLK0_USERCCLK_2,UNUSED,,2,,,,,,,,,
AB13,,IOBS,IO_L41N_VREF_2,UNUSED,,2,,,,,,,,,
AB14,,IOBS,IO_L15N_2,UNUSED,,2,,,,,,,,,
AB15,,IOBS,IO_L5N_2,UNUSED,,2,,,,,,,,,
AB16,,IOBS,IO_L4N_VREF_2,UNUSED,,2,,,,,,,,,
AB17,,IOBS,IO_L3N_MOSI_CSI_B_MISO0_2,UNUSED,,2,,,,,,,,,
AB18,,IOBS,IO_L2N_CMPMOSI_2,UNUSED,,2,,,,,,,,,
AB19,ExternalDataBus<24>,IOB,IO_L65P_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
AB20,ExternalDataBus<30>,IOB,IO_L65N_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
AB21,ExternalDataBus<22>,IOB,IO_L61N_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
AB22,,,GND,,,,,,,,,,,,
B1,ExternalAddressBus<26>,IOB,IO_L54N_M3A11_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
B2,ExternalAddressBus<25>,IOB,IO_L54P_M3RESET_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
B3,,IOBM,IO_L1P_HSWAPEN_0,UNUSED,,0,,,,,,,,,
B4,,,VCCO_0,,,0,,,,,any******,,,,
B5,,,GND,,,,,,,,,,,,
B6,,IOBM,IO_L4P_0,UNUSED,,0,,,,,,,,,
B7,,,VCCO_0,,,0,,,,,any******,,,,
B8,,IOBM,IO_L6P_0,UNUSED,,0,,,,,,,,,
B9,,,GND,,,,,,,,,,,,
B10,,IOBM,IO_L34P_GCLK19_0,UNUSED,,0,,,,,,,,,
B11,,,VCCO_0,,,0,,,,,any******,,,,
B12,,IOBM,IO_L36P_GCLK15_0,UNUSED,,0,,,,,,,,,
B13,,,GND,,,,,,,,,,,,
B14,,IOBM,IO_L50P_0,UNUSED,,0,,,,,,,,,
B15,,,VCCO_0,,,0,,,,,any******,,,,
B16,,IOBM,IO_L63P_SCP7_0,UNUSED,,0,,,,,,,,,
B17,,,GND,,,,,,,,,,,,
B18,,IOBM,IO_L66P_SCP1_0,UNUSED,,0,,,,,,,,,
B19,,,VCCO_1,,,1,,,,,2.50,,,,
B20,InternalDataBus<12>,IOB,IO_L14P_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
B21,ALUAddressBus<14>,IOB,IO_L37P_A7_M1A0_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
B22,ALUAddressBus<15>,IOB,IO_L37N_A6_M1A1_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
C1,ExternalAddressBus<22>,IOB,IO_L52N_M3A9_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
C2,,,VCCO_3,,,3,,,,,2.50,,,,
C3,ExternalAddressBus<21>,IOB,IO_L52P_M3A8_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
C4,,IOBM,IO_L81P_3,UNUSED,,3,,,,,,,,,
C5,,IOBM,IO_L2P_0,UNUSED,,0,,,,,,,,,
C6,,IOBS,IO_L3N_0,UNUSED,,0,,,,,,,,,
C7,,IOBM,IO_L5P_0,UNUSED,,0,,,,,,,,,
C8,,IOBS,IO_L7N_0,UNUSED,,0,,,,,,,,,
C9,,IOBM,IO_L8P_0,UNUSED,,0,,,,,,,,,
C10,,IOBS,IO_L33N_0,UNUSED,,0,,,,,,,,,
C11,,IOBM,IO_L35P_GCLK17_0,UNUSED,,0,,,,,,,,,
C12,,IOBS,IO_L37N_GCLK12_0,UNUSED,,0,,,,,,,,,
C13,,IOBM,IO_L48P_0,UNUSED,,0,,,,,,,,,
C14,,IOBS,IO_L46N_0,UNUSED,,0,,,,,,,,,
C15,,IOBM,IO_L62P_0,UNUSED,,0,,,,,,,,,
C16,,IOBS,IO_L65N_SCP2_0,UNUSED,,0,,,,,,,,,
C17,,IOBM,IO_L64P_SCP5_0,UNUSED,,0,,,,,,,,,
C18,InternalDataBus<8>,IOB,IO_L12P_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
C19,InternalDataBus<9>,IOB,IO_L12N_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
C20,ALUAddressBus<10>,IOB,IO_L35P_A11_M1A7_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
C21,,,VCCO_1,,,1,,,,,2.50,,,,
C22,ALUAddressBus<11>,IOB,IO_L35N_A10_M1A2_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
D1,ExternalAddressBus<18>,IOB,IO_L50N_M3BA2_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
D2,ExternalAddressBus<17>,IOB,IO_L50P_M3WE_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
D3,,IOBS,IO_L81N_3,UNUSED,,3,,,,,,,,,
D4,,,GND,,,,,,,,,,,,
D5,,IOBS,IO_L82N_3,UNUSED,,3,,,,,,,,,
D6,,IOBM,IO_L3P_0,UNUSED,,0,,,,,,,,,
D7,,IOBM,IO_L7P_0,UNUSED,,0,,,,,,,,,
D8,,IOBS,IO_L32N_0,UNUSED,,0,,,,,,,,,
D9,,IOBM,IO_L32P_0,UNUSED,,0,,,,,,,,,
D10,,IOBM,IO_L33P_0,UNUSED,,0,,,,,,,,,
D11,,IOBM,IO_L37P_GCLK13_0,UNUSED,,0,,,,,,,,,
D12,,IOBS,IO_L47N_0,UNUSED,,0,,,,,,,,,
D13,,IOBM,IO_L47P_0,UNUSED,,0,,,,,,,,,
D14,,,TCK,,,,,,,,,,,,
D15,,IOBM,IO_L46P_0,UNUSED,,0,,,,,,,,,
D16,,,VCCAUX,,,,,,,,2.5,,,,
D17,,IOBM,IO_L65P_SCP3_0,UNUSED,,0,,,,,,,,,
D18,,,GND,,,,,,,,,,,,
D19,InternalDataBus<6>,IOB,IO_L11P_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
D20,InternalDataBus<7>,IOB,IO_L11N_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
D21,InternalDataBus<29>,IOB,IO_L33P_A15_M1A10_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
D22,ALUAddressBus<7>,IOB,IO_L33N_A14_M1A4_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
E1,ExternalAddressBus<14>,IOB,IO_L48N_M3BA1_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
E2,,,GND,,,,,,,,,,,,
E3,ExternalAddressBus<13>,IOB,IO_L48P_M3BA0_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
E4,,IOBM,IO_L60P_3,UNUSED,,3,,,,,,,,,
E5,,IOBS,IO_L75N_3,UNUSED,,3,,,,,,,,,
E6,,IOBM,IO_L82P_3,UNUSED,,3,,,,,,,,,
E7,,,GND,,,,,,,,,,,,
E8,,IOBS,IO_L15N_0,UNUSED,,0,,,,,,,,,
E9,,,VCCO_0,,,0,,,,,any******,,,,
E10,,IOBS,IO_L38N_VREF_0,UNUSED,,0,,,,,,,,,
E11,,,GND,,,,,,,,,,,,
E12,,IOBS,IO_L49N_0,UNUSED,,0,,,,,,,,,
E13,,,VCCO_0,,,0,,,,,any******,,,,
E14,,,TDO,,,,,,,,,,,,
E15,,,GND,,,,,,,,,,,,
E16,,,TMS,,,,,,,,,,,,
E17,,,VCCO_0,,,0,,,,,any******,,,,
E18,,,TDI,,,,,,,,,,,,
E19,,,VCCO_1,,,1,,,,,2.50,,,,
E20,InternalDataBus<28>,IOB,IO_L31P_A19_M1CKE_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
E21,,,GND,,,,,,,,,,,,
E22,ALUAddressBus<3>,IOB,IO_L31N_A18_M1A12_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
F1,ExternalAddressBus<10>,IOB,IO_L46N_M3CLKN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
F2,ExternalAddressBus<9>,IOB,IO_L46P_M3CLK_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
F3,,IOBS,IO_L60N_3,UNUSED,,3,,,,,,,,,
F4,,,VCCO_3,,,3,,,,,2.50,,,,
F5,,IOBM,IO_L75P_3,UNUSED,,3,,,,,,,,,
F6,,,VCCO_3,,,3,,,,,2.50,,,,
F7,,IOBS,IO_L80N_3,UNUSED,,3,,,,,,,,,
F8,,IOBM,IO_L80P_3,UNUSED,,3,,,,,,,,,
F9,,IOBM,IO_L15P_0,UNUSED,,0,,,,,,,,,
F10,,IOBM,IO_L38P_0,UNUSED,,0,,,,,,,,,
F11,,,VCCAUX,,,,,,,,2.5,,,,
F12,,IOBM,IO_L49P_0,UNUSED,,0,,,,,,,,,
F13,InternalDataBus<2>,IOB,IO_L9P_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
F14,InternalDataBus<3>,IOB,IO_L9N_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
F15,InternalDataBus<0>,IOB,IO_L1P_A25_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
F16,InternalDataBus<1>,IOB,IO_L1N_A24_VREF_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
F17,InternalDataBus<14>,IOB,IO_L15P_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
F18,InternalDataBus<15>,IOB,IO_L15N_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
F19,InternalDataBus<20>,IOB,IO_L18P_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
F20,InternalDataBus<21>,IOB,IO_L18N_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
F21,ALUAddressBus<6>,IOB,IO_L29P_A23_M1A13_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
F22,ALUAddressBus<2>,IOB,IO_L29N_A22_M1A14_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
G1,ExternalAddressBus<6>,IOB,IO_L44N_GCLK20_M3A6_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
G2,,,VCCO_3,,,3,,,,,2.50,,,,
G3,ExternalAddressBus<5>,IOB,IO_L44P_GCLK21_M3A5_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
G4,,IOBS,IO_L74N_3,UNUSED,,3,,,,,,,,,
G5,,,GND,,,,,,,,,,,,
G6,,IOBM,IO_L74P_3,UNUSED,,3,,,,,,,,,
G7,,IOBS,IO_L73N_3,UNUSED,,3,,,,,,,,,
G8,,IOBM,IO_L73P_3,UNUSED,,3,,,,,,,,,
G9,,IOBS,IO_L16N_0,UNUSED,,0,,,,,,,,,
G10,,,VCCO_0,,,0,,,,,any******,,,,
G11,,IOBS,IO_L51N_0,UNUSED,,0,,,,,,,,,
G12,,,VCCAUX,,,,,,,,2.5,,,,
G13,InternalDataBus<23>,IOB,IO_L19N_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
G14,,,VCCO_1,,,1,,,,,2.50,,,,
G15,InternalDataBus<4>,IOB,IO_L10P_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
G16,InternalDataBus<5>,IOB,IO_L10N_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
G17,InternalDataBus<10>,IOB,IO_L13P_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
G18,,,GND,,,,,,,,,,,,
G19,InternalDataBus<11>,IOB,IO_L13N_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
G20,InternalDataBus<30>,IOB,IO_L32P_A17_M1A8_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
G21,,,VCCO_1,,,1,,,,,2.50,,,,
G22,ALUAddressBus<5>,IOB,IO_L32N_A16_M1A9_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H1,clk,IOB,IO_L42N_GCLK24_M3LDM_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H2,ExternalAddressBus<2>,IOB,IO_L42P_GCLK25_TRDY2_M3UDM_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H3,ExternalAddressBus<28>,IOB,IO_L55N_M3A14_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H4,ExternalAddressBus<27>,IOB,IO_L55P_M3A13_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H5,ExternalAddressBus<30>,IOB,IO_L57N_VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H6,ExternalAddressBus<29>,IOB,IO_L57P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H7,,,GND,,,,,,,,,,,,
H8,ExternalAddressBus<31>,IOB,IO_L58P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H9,,,VCCAUX,,,,,,,,2.5,,,,
H10,,IOBM,IO_L16P_0,UNUSED,,0,,,,,,,,,
H11,,IOBM,IO_L51P_0,UNUSED,,0,,,,,,,,,
H12,InternalDataBus<22>,IOB,IO_L19P_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
H13,InternalDataBus<26>,IOB,IO_L21P_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
H14,InternalDataBus<27>,IOB,IO_L21N_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
H15,,,VCCAUX,,,,,,,,2.5,,,,
H16,InternalDataBus<25>,IOB,IO_L20N_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
H17,InternalDataBus<18>,IOB,IO_L17P_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
H18,InternalDataBus<19>,IOB,IO_L17N_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
H19,ALUAddressBus<8>,IOB,IO_L30P_A21_M1RESET_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H20,ALUAddressBus<4>,IOB,IO_L30N_A20_M1A11_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H21,InternalDataBus<31>,IOB,IO_L34P_A13_M1WE_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
H22,ALUAddressBus<9>,IOB,IO_L34N_A12_M1BA2_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J1,ExternalAddressBus<1>,IOB,IO_L41N_GCLK26_M3DQ5_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
J2,,,GND,,,,,,,,,,,,
J3,ExternalAddressBus<0>,IOB,IO_L41P_GCLK27_M3DQ4_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
J4,ExternalAddressBus<24>,IOB,IO_L53N_M3A12_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
J5,,,VCCO_3,,,3,,,,,2.50,,,,
J6,ExternalAddressBus<23>,IOB,IO_L53P_M3CKE_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
J7,ValidMemoryData,IOB,IO_L58N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
J8,,,VCCINT,,,,,,,,1.2,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,VCCINT,,,,,,,,1.2,,,,
J11,,,GND,,,,,,,,,,,,
J12,,,VCCINT,,,,,,,,1.2,,,,
J13,,,GND,,,,,,,,,,,,
J14,,,VCCINT,,,,,,,,1.2,,,,
J15,,,GND,,,,,,,,,,,,
J16,InternalDataBus<24>,IOB,IO_L20P_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
J17,ALUAddressBus<16>,IOB,IO_L38P_A5_M1CLK_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J18,,,VCCO_1,,,1,,,,,2.50,,,,
J19,ALUAddressBus<17>,IOB,IO_L38N_A4_M1CLKN_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J20,,,GND,,,,,,,,,,,,
J21,ALUAddressBus<18>,IOB,IO_L39P_M1A3_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J22,ALUAddressBus<19>,IOB,IO_L39N_M1ODT_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K1,PCGetNewInstruction,IOB,IO_L40N_M3DQ7_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K2,PCAddressBus<29>,IOB,IO_L40P_M3DQ6_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K3,ExternalAddressBus<16>,IOB,IO_L49N_M3A2_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K4,ExternalAddressBus<15>,IOB,IO_L49P_M3A7_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K5,ExternalAddressBus<20>,IOB,IO_L51N_M3A4_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K6,ExternalAddressBus<19>,IOB,IO_L51P_M3A10_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K7,,IOBS,IO_L59N_3,UNUSED,,3,,,,,,,,,
K8,,IOBM,IO_L59P_3,UNUSED,,3,,,,,,,,,
K9,,,VCCINT,,,,,,,,1.2,,,,
K10,,,GND,,,,,,,,,,,,
K11,,,VCCINT,,,,,,,,1.2,,,,
K12,,,GND,,,,,,,,,,,,
K13,,,VCCINT,,,,,,,,1.2,,,,
K14,,,GND,,,,,,,,,,,,
K15,,,VCCAUX,,,,,,,,2.5,,,,
K16,ALUAddressBus<1>,IOB,IO_L28N_VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K17,ALUAddressBus<21>,IOB,IO_L40N_GCLK10_M1A6_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K18,ALUAddressBus<12>,IOB,IO_L36P_A9_M1BA0_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K19,ALUAddressBus<13>,IOB,IO_L36N_A8_M1BA1_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K20,ALUAddressBus<25>,IOB,IO_L42N_GCLK6_TRDY1_M1LDM_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K21,ALUAddressBus<28>,IOB,IO_L44P_A3_M1DQ6_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K22,ALUAddressBus<29>,IOB,IO_L44N_A2_M1DQ7_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L1,PCAddressBus<26>,IOB,IO_L39N_M3LDQSN_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L2,,,VCCO_3,,,3,,,,,2.50,,,,
L3,PCAddressBus<31>,IOB,IO_L39P_M3LDQS_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L4,ExternalAddressBus<12>,IOB,IO_L47N_M3A1_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
L5,,,GND,,,,,,,,,,,,
L6,PCAddressBus<20>,IOB,IO_L31N_VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L7,,,VCCO_3,,,3,,,,,2.50,,,,
L8,,,VCCAUX,,,,,,,,2.5,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,VCCINT,,,,,,,,1.2,,,,
L11,,,GND,,,,,,,,,,,,
